layer,level,sid,n,correct,accuracy,uplift,wilson_lower,p_value,q_value,selected
25,2,191,2164,1174,0.5425138632162662,0.05404426153911729,0.5214665423690549,1.4178237717351699e-07,8.076282155367201e-07,True
25,2,216,936,517,0.5523504273504274,0.06388082567327852,0.5203446529160431,4.436166216615985e-05,0.0002014410068174051,True
25,2,221,738,474,0.6422764227642277,0.15380682108707883,0.6070384414165237,1.624001199393803e-17,1.7969791049231046e-16,True
25,2,226,878,462,0.5261958997722096,0.03772629809506073,0.49312562777258,0.013065069008821206,0.04258681636283933,True
25,2,244,451,276,0.6119733924611973,0.12350379078404844,0.5662336657898073,7.937881093773666e-08,4.697664057134907e-07,True
25,2,246,495,286,0.5777777777777777,0.08930817610062886,0.5338309975441791,3.802430907249417e-05,0.00017348215576834622,True
26,1,62,4718,2894,0.6133955065705807,0.12492590489343186,0.5994128842137327,3.28057205089995e-74,2.1532482006816036e-72,True
26,1,76,5030,2904,0.5773359840954274,0.08886638241827854,0.5636304323529132,3.8574876852568604e-41,1.1726762563180856e-39,True
26,1,131,5090,2935,0.5766208251473477,0.08815122347019883,0.5629940604542042,4.981299888126273e-41,1.498541049677987e-39,True
26,1,230,6613,4124,0.6236201421442613,0.13515054046711245,0.6118745731396396,2.2162125521861316e-126,3.555789917063082e-124,True
26,2,1,943,635,0.6733828207847296,0.18491321910758068,0.6427988266974753,3.8114459902846423e-31,8.467273861493882e-30,True
26,2,6,768,513,0.66796875,0.17949914832285113,0.633897639169057,3.322505185277514e-24,5.677748505965362e-23,True
26,2,9,712,440,0.6179775280898876,0.12950792641273873,0.5817446336836674,1.759795862221149e-12,1.427609676992887e-11,True
26,2,33,900,531,0.59,0.1015303983228511,0.5575504422967014,4.317826398442876e-10,3.0266705433745207e-09,True
26,2,37,1117,702,0.6284691136974038,0.1399995120202549,0.5997359920734986,1.1591821638280527e-21,1.6822703965504603e-20,True
26,2,42,556,314,0.564748201438849,0.0762785997617001,0.5232318308385415,0.00017150274078838468,0.0007348663433187759,True
26,2,49,710,381,0.5366197183098591,0.04815011663271024,0.4998409755430389,0.005394604448664499,0.018680596699931742,True
26,2,54,1403,846,0.6029935851746258,0.11452398349747689,0.5771432799184422,1.4678109206379227e-18,1.7373106306566887e-17,True
26,2,58,766,475,0.6201044386422977,0.13163483696514883,0.5852136213504686,1.0542755554028638e-13,9.39736976544281e-13,True
26,2,80,667,414,0.6206896551724138,0.13222005349526494,0.5832738771576249,3.2338793649142857e-12,2.551760548052584e-11,True
26,2,82,848,491,0.5790094339622641,0.09053983228511525,0.5454957006727623,5.883193697128555e-08,3.517735693024279e-07,True
26,2,86,226,157,0.6946902654867256,0.20622066380957677,0.6318074885726105,2.505245742433128e-10,1.7908786396403153e-09,True
26,2,97,552,300,0.5434782608695652,0.05500865919241632,0.5017669513200006,0.005248025439317158,0.018260599359937294,True
26,2,104,1021,643,0.6297747306562194,0.1413051289790705,0.5997209410161142,2.960646281461486e-20,3.8865211185730785e-19,True
26,2,107,144,87,0.6041666666666666,0.11569706498951776,0.5225833437386467,0.0034227250976434386,0.01227929202732205,True
26,2,118,296,185,0.625,0.13653039832285113,0.5685769560280737,1.4737867804699695e-06,7.752816433510514e-06,True
26,2,125,490,310,0.6326530612244898,0.14418345954734096,0.5890896104443082,7.569130699258346e-11,5.492374236044749e-10,True
26,2,141,351,261,0.7435897435897436,0.25512014191259474,0.6954429237543969,1.1616509292473675e-22,1.843323013003515e-21,True
26,2,148,981,753,0.7675840978593272,0.2791144961821784,0.7401400482014946,2.8208190587152726e-73,1.7709837916455886e-71,True
26,2,150,276,191,0.6920289855072463,0.20355938383009747,0.6352386553894422,5.2937458655614316e-12,4.131983259389572e-11,True
26,2,191,2319,1257,0.5420439844760673,0.05357438279891841,0.5217126526815528,6.479869376598876e-08,3.850589045188797e-07,True
26,2,216,844,478,0.566350710900474,0.07788110922332508,0.5326898930718855,2.836319077609782e-06,1.4497857515286816e-05,True
26,2,221,444,282,0.6351351351351351,0.14666553345798622,0.5893754462346592,2.911837239843821e-10,2.0611240070267045e-09,True
26,2,226,990,526,0.5313131313131313,0.042843529635982425,0.5001666884619193,0.0035215031399577702,0.012586758747769851,True
26,2,239,790,488,0.6177215189873417,0.12925191731019287,0.5833424633926714,1.2207188107202753e-13,1.0781149618838395e-12,True
26,2,244,666,395,0.5930930930930931,0.10462349141594424,0.5553522783507101,3.0917895413874084e-08,1.875858864606478e-07,True
26,2,246,849,499,0.5877502944640753,0.09928069278692647,0.5543158222432474,2.9822618321764202e-09,1.926794669200336e-08,True
26,2,253,130,80,0.6153846153846154,0.12691501370746655,0.5295835084683116,0.0024079571788952073,0.00884755767512641,True
27,1,44,13018,7314,0.5618374558303887,0.07336785415323982,0.553297167871762,2.884505171992471e-88,2.6491750609469525e-86,True
27,1,90,9514,4892,0.5141896153037628,0.02572001362661397,0.5041427727955109,8.392912367330276e-09,5.2578592010520255e-08,True
27,1,146,180,108,0.6,0.11153039832285111,0.5270621817586989,0.0016909121012478358,0.006317405107896183,True
27,1,147,9360,5401,0.5770299145299145,0.08856031285276561,0.5669917432172071,4.0267210913519084e-83,3.3226201462355176e-81,True
27,2,1,601,388,0.6455906821963394,0.15712108051919055,0.6065335727494702,4.204100004135911e-15,4.1867037282567275e-14,True
27,2,6,834,543,0.6510791366906474,0.16260953501349856,0.6181047895033007,9.754647322263717e-22,1.4227990639746272e-20,True
27,2,9,416,234,0.5625,0.07403039832285113,0.5144716766275443,0.001407652674522346,0.0053210745078802815,True
27,2,15,737,399,0.5413839891451832,0.052914387468034285,0.5052872435139515,0.002112848381226781,0.007783043526763959,True
27,2,33,284,173,0.6091549295774648,0.12068532790031589,0.5513096313042279,2.7516430253269816e-05,0.00012796690913275882,True
27,2,37,1643,1049,0.6384662203286671,0.1499966186515182,0.6149363993099495,8.956430028099513e-36,2.30947945724566e-34,True
27,2,42,5124,2817,0.5497658079625293,0.061296206285380406,0.5361109902206781,6.116412189163545e-21,8.371658010570767e-20,True
27,2,49,301,176,0.584717607973422,0.09624800629627311,0.5283220393877811,0.0004858776749722187,0.00197357907921205,True
27,2,54,1311,749,0.5713196033562167,0.08285000167906781,0.5443602962003492,6.448966286883645e-10,4.4134157906445415e-09,True
27,2,58,441,270,0.6122448979591837,0.12377529628203482,0.5659864089647614,1.031416125170668e-07,5.969398335657092e-07,True
27,2,80,791,509,0.6434892541087232,0.15501965243157428,0.6094901739926767,6.0890972316070555e-19,7.35787146647748e-18,True
27,2,86,639,389,0.6087636932707355,0.12029409159358667,0.5703814949040115,5.150753588361112e-10,3.558702479231314e-09,True
27,2,104,652,413,0.6334355828220859,0.14496598114493703,0.595766375135715,4.4953564384793257e-14,4.174466043192377e-13,True
27,2,107,1125,619,0.5502222222222222,0.0617526205450733,0.5210301229766886,1.5393300855964046e-05,7.335949318815869e-05,True
27,2,118,509,343,0.6738703339882122,0.1854007323110633,0.6319730104543607,1.5350821751527752e-17,1.7117055296684227e-16,True
27,2,125,365,231,0.6328767123287671,0.1444071106516182,0.5822804845241077,1.7510753050617853e-08,1.0805780942347085e-07,True
27,2,141,192,145,0.7552083333333334,0.2667387316561845,0.6897752345339652,3.439818674484373e-14,3.2358945706550065e-13,True
27,2,148,1303,1010,0.7751343054489639,0.286664703771815,0.7516753353147818,6.594711811782876e-103,8.280664222795193e-101,True
27,2,150,995,656,0.6592964824120603,0.17082688073491142,0.6292849400926919,3.444523061475841e-28,6.813549727083718e-27,True
27,2,157,148,88,0.5945945945945946,0.10612499291744576,0.5140709959732847,0.0060562286849028405,0.02089652143608053,True
27,2,221,135,85,0.6296296296296297,0.14116002795248078,0.545636726124242,0.0006586034140933271,0.002608505738497481,True
27,2,226,846,454,0.5366430260047281,0.04817342432757926,0.5029505185998855,0.0025929017580611177,0.009478861110481655,True
27,2,237,927,498,0.5372168284789643,0.04874722680181548,0.5050310348453004,0.0015024376753400986,0.005671947720761052,True
27,2,239,1370,715,0.5218978102189781,0.03342820854182921,0.49542210187864155,0.006455471907090309,0.022194527223424777,True
27,2,244,1272,760,0.5974842767295597,0.10901467505241086,0.5702792306706879,1.6412448362708134e-15,1.657312967535003e-14,True
27,2,246,424,274,0.6462264150943396,0.15775681341719078,0.5995869741189948,3.5620923097328525e-11,2.651371801677443e-10,True
27,2,253,1252,681,0.5439297124600639,0.05546011078291507,0.5162479021990412,3.84742441535728e-05,0.00017525807116012342,True
28,1,19,11098,5615,0.5059470174806271,0.017477415803478225,0.49664464048118034,1.143755880076468e-05,5.5144690845756916e-05,True
28,1,185,9862,5737,0.581727844250659,0.09325824257351017,0.5719622586686627,3.788511156543399e-98,4.55884175837389e-96,True
28,1,232,10363,6034,0.582263823217215,0.09379422154006617,0.5727394090086181,1.1266808498084145e-105,1.479024679203046e-103,True
28,2,1,956,610,0.6380753138075314,0.14960571213038248,0.6071157246001087,3.663158179076998e-21,5.135534379210859e-20,True
28,2,6,804,537,0.667910447761194,0.17944084608404515,0.6346248713721816,2.923542463955461e-25,5.343791541710994e-24,True
28,2,9,741,445,0.6005398110661269,0.11207020938897799,0.5648426341356296,4.353972924788147e-10,3.0446183551545202e-09,True
28,2,12,360,230,0.6388888888888888,0.15041928721173997,0.5880454496704685,5.70209567887346e-09,3.627236193961796e-08,True
28,2,33,1039,634,0.6102021174205967,0.12173251574344784,0.5801925704481911,1.0564599673271383e-15,1.0781117970462104e-14,True
28,2,37,1159,684,0.5901639344262295,0.10169433274908063,0.5615970090265155,1.2786661020522083e-12,1.04908741554738e-11,True
28,2,42,811,488,0.6017262638717632,0.11325666219461433,0.5676300556786067,4.239416147826474e-11,3.123324957888484e-10,True
28,2,49,493,274,0.5557809330628803,0.06731133138573148,0.511655947478213,0.0015265455130690118,0.005755435302536953,True
28,2,54,1177,733,0.622769753610875,0.1343001519337262,0.5947217862627611,4.497695130330226e-21,6.244876700189275e-20,True
28,2,58,559,322,0.5760286225402504,0.08755902086310158,0.5346788555990625,1.817999469824382e-05,8.635497481665813e-05,True
28,2,80,1319,842,0.6383623957543594,0.1498927940772105,0.612065049893449,7.607470988673408e-29,1.5806026054164607e-27,True
28,2,82,248,139,0.5604838709677419,0.07201426929059301,0.4982541880757494,0.013471167601275456,0.043737412387743695,True
28,2,86,938,608,0.6481876332622601,0.15971803158511128,0.61707909480838,1.7702431467601345e-23,2.9048080726382206e-22,True
28,2,104,602,387,0.6428571428571429,0.15438754117999404,0.6037852551608294,1.172684830504543e-14,1.1214284074493776e-13,True
28,2,118,812,508,0.625615763546798,0.13714616186964917,0.5918092400464255,1.553280625660722e-15,1.5789814140652514e-14,True
28,2,125,512,328,0.640625,0.15215539832285113,0.5981574895322843,2.271722431179209e-12,1.817377944943367e-11,True
28,2,141,241,187,0.7759336099585062,0.2874640082813574,0.719195750904708,4.05230005119693e-20,5.271640787322853e-19,True
28,2,148,1301,988,0.7594158339738662,0.2709462322967174,0.735446854966064,1.932469951054412e-91,1.9244735236707383e-89,True
28,2,150,992,652,0.657258064516129,0.16878846283898014,0.6271661930603354,1.7840068752129127e-27,3.434807903743261e-26,True
28,2,221,253,152,0.6007905138339921,0.1123209121568432,0.5393697331249729,0.00020866100838359906,0.0008835967627739503,True
28,2,226,795,419,0.5270440251572327,0.03857442348008383,0.49229113817768994,0.01540837681582956,0.04922499142048204,True
28,2,237,982,560,0.570264765784114,0.08179516410696513,0.5390874151425612,1.252986646206295e-07,7.17981236953131e-07,True
28,2,239,1195,695,0.5815899581589958,0.09312035648184697,0.553402832623777,3.8317768269354675e-11,2.8374798656896485e-10,True
28,2,244,867,520,0.5997693194925029,0.11129971781535403,0.5667850068215772,2.0356553585759652e-11,1.5191143864515214e-10,True
28,2,245,414,262,0.6328502415458938,0.1443806398687449,0.5853935015111941,2.030137793437319e-09,1.3325086244197674e-08,True
28,2,246,622,378,0.6077170418006431,0.11924744012349425,0.5687963552078957,1.2043975164593266e-09,8.089069831475665e-09,True
29,1,21,15563,8033,0.5161601233695303,0.027690521692381453,0.5083056062476772,6.5611943117157536e-18,7.609931394471926e-17,True
29,1,144,15715,9326,0.593445752465797,0.10497615078864814,0.5857440417813488,3.695933487005487e-235,1.1859839900524272e-232,True
29,2,1,677,440,0.6499261447562777,0.16145654307912888,0.6132403718648151,1.110128564825403e-17,1.2672139506781676e-16,True
29,2,6,630,396,0.6285714285714286,0.1401018268942797,0.5901674115599744,7.474726907141348e-13,6.203164168915004e-12,True
29,2,9,679,401,0.5905743740795287,0.10210477240237986,0.5531787454215702,4.796012882357226e-08,2.879601913565004e-07,True
29,2,12,1342,829,0.6177347242921013,0.12926512261495243,0.5914342226607976,3.1625192167704503e-22,4.756955988558886e-21,True
29,2,33,622,414,0.6655948553054662,0.17712525362831738,0.6276015734444527,2.174073268981321e-19,2.7063463796629548e-18,True
29,2,49,657,381,0.5799086757990868,0.09143907412193791,0.5418091332360881,1.3646941510563956e-06,7.218382249543719e-06,True
