layer,level,sid,n,correct,accuracy,uplift,wilson_lower,p_value,q_value,selected
7,0,221,44838,21902,0.48846960167714887,0.0,0.48384391595478843,1.0,1.0,False
7,1,25,436,114,0.26146788990825687,-0.227001711768892,0.22243059880806507,1.0,1.0,False
7,1,50,7273,3838,0.5277052110545855,0.03923560937743659,0.5162199559187605,1.4376460019163008e-13,1.2543569950254612e-12,True
7,1,58,4328,2347,0.54228280961183,0.053813207934681084,0.5274087695137742,5.1863554832219796e-14,4.785365698257214e-13,True
7,1,67,138,20,0.14492753623188406,-0.3435420654452648,0.09581779993173598,1.0,1.0,False
7,1,96,153,63,0.4117647058823529,-0.07670489579479595,0.33687167716788513,0.9765576310806672,1.0,False
7,1,107,535,320,0.5981308411214953,0.10966123944434641,0.5560285971904856,1.964084288502674e-07,1.1100343297838988e-06,True
7,1,133,282,90,0.3191489361702128,-0.16932066550693609,0.2674847754176165,0.999999997364951,1.0,False
7,1,136,723,40,0.05532503457814661,-0.4331445670990023,0.04088966280845989,1.0,1.0,False
7,1,154,9132,3747,0.4103153745072273,-0.07815422716992154,0.4002662817120221,1.0,1.0,False
7,1,156,790,135,0.17088607594936708,-0.3175835257277818,0.1462455302504744,1.0,1.0,False
7,1,165,646,71,0.10990712074303406,-0.3785624809341148,0.08805465818487664,1.0,1.0,False
7,1,176,218,30,0.13761467889908258,-0.3508549227780663,0.09812444245358987,1.0,1.0,False
7,1,191,9473,5357,0.5655019529188219,0.07703235124167301,0.5554952575259704,2.690363488682606e-64,1.494186491406801e-62,True
7,1,243,379,63,0.1662269129287599,-0.32224268874838896,0.1321335764501033,1.0,1.0,False
7,1,245,9786,5495,0.5615164520743919,0.07304685039724307,0.5516629027792654,2.229145105331651e-60,1.109960528309967e-58,True
7,1,247,159,55,0.34591194968553457,-0.1425576519916143,0.27639757354763683,0.9998983363880274,1.0,False
7,2,0,569,326,0.5729349736379613,0.08446537196081244,0.531935120734082,2.931799948303131e-05,0.00013525620208785052,True
7,2,3,2625,1378,0.524952380952381,0.03648277927523208,0.5058260380549993,6.320091329676172e-05,0.00028298331411015173,True
7,2,4,1342,718,0.5350223546944859,0.04655275301733702,0.5082744146613661,0.00029498425017593073,0.0012205079004413868,True
7,2,7,287,38,0.13240418118466898,-0.3560654204924799,0.09800546578092328,1.0,1.0,False
7,2,8,112,58,0.5178571428571429,0.029387541179994037,0.42626821184923186,0.2985538933022739,0.7239493231376717,False
7,2,11,330,44,0.13333333333333333,-0.3551362683438155,0.10084394392998684,1.0,1.0,False
7,2,15,528,280,0.5303030303030303,0.04183342862588141,0.4876669806885696,0.029341077679145577,0.08891608849671818,False
7,2,30,855,509,0.5953216374269006,0.10685203574975172,0.5620655577540377,1.5940199495318471e-10,1.1451566204596951e-09,True
7,2,32,963,612,0.6355140186915887,0.14704441701443988,0.604633184413873,1.225720810314858e-20,1.646456604739214e-19,True
7,2,41,178,84,0.47191011235955055,-0.01655948931759832,0.3999418261607029,0.6975556912183289,1.0,False
7,2,43,757,350,0.4623513870541612,-0.02611821462298769,0.4271131614857489,0.9315025653859011,1.0,False
7,2,57,3379,1774,0.5250073986386505,0.03653779696150167,0.5081506322035405,5.4031647186773785e-06,2.6857727551704423e-05,True
7,2,70,122,36,0.29508196721311475,-0.19338763446403412,0.22140591975625476,0.9999955136157784,1.0,False
7,2,74,124,57,0.4596774193548387,-0.028792182322310178,0.37448868538236924,0.7678206793112468,1.0,False
7,2,79,263,125,0.4752851711026616,-0.01318443057448726,0.4157204336222622,0.6880711721637911,1.0,False
7,2,89,163,80,0.49079754601226994,0.0023279443351210682,0.4151513247890235,0.5073054216392898,1.0,False
7,2,92,139,27,0.19424460431654678,-0.2942249973606021,0.1370694966973552,0.9999999999998671,1.0,False
7,2,93,876,214,0.24429223744292236,-0.2441773642342265,0.2169954537895809,1.0,1.0,False
7,2,100,525,271,0.5161904761904762,0.02772087451332733,0.4734799743583983,0.10856654864187368,0.29747646345135786,False
7,2,103,702,401,0.5712250712250713,0.0827554695479224,0.5343246140157486,5.741634828617419e-06,2.849113640042458e-05,True
7,2,105,581,362,0.6230636833046471,0.13459408162749825,0.5829701121593849,3.612155440619541e-11,2.6817236278944047e-10,True
7,2,107,134,71,0.5298507462686567,0.041381144591507824,0.445692493208826,0.19127190101334784,0.49453290073997186,False
7,2,108,594,336,0.5656565656565656,0.07718696397941677,0.525499001508743,8.843675237900867e-05,0.0003905280441446132,True
7,2,111,2413,1274,0.5279734769995856,0.039503875322436766,0.5080258399231002,3.5980535342497645e-05,0.00016493934296687808,True
7,2,113,2014,874,0.4339622641509434,-0.05450733752620546,0.4124623687008608,0.9999997656761602,1.0,False
7,2,123,726,310,0.42699724517906334,-0.06147235649808552,0.3914928176279594,0.9996441017481167,1.0,False
